epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.06,0.79386,2.74985,1.21062,0.84589,0.28833,0.63594,0.45465,0.77356,3.14044,1.217,0.000410354,0.000410354,0.000410354
2,789.926,0.90897,1.94199,1.28711,0.67401,0.58898,0.63745,0.42244,1.14961,2.56609,1.60109,0.000745145,0.000745145,0.000745145
3,1242.13,0.96942,1.77103,1.33802,0.56605,0.57707,0.58617,0.40405,1.05833,2.41299,1.54039,0.000997437,0.000997437,0.000997437
4,1966.34,0.96527,1.61202,1.30254,0.77023,0.64019,0.70796,0.49732,1.13742,1.9019,1.56445,0.00087875,0.00087875,0.00087875
5,2820.94,0.91034,1.38576,1.27698,0.45586,0.62674,0.62672,0.43435,0.90936,2.097,1.32293,0.000755,0.000755,0.000755
6,4325.49,0.84092,1.25423,1.20531,0.75633,0.6621,0.77513,0.5424,1.18088,2.00165,1.52158,0.00063125,0.00063125,0.00063125
7,4675.43,0.78723,1.11153,1.16262,0.90101,0.78656,0.88282,0.67934,0.88444,1.34348,1.29661,0.0005075,0.0005075,0.0005075
8,5060.59,0.75775,1.02059,1.1515,0.9042,0.83066,0.91085,0.72509,0.85433,1.11724,1.30092,0.00038375,0.00038375,0.00038375
9,5552.86,0.67856,0.87643,1.08864,0.92265,0.83667,0.91832,0.73894,0.83705,1.06345,1.29623,0.00026,0.00026,0.00026
10,6321.7,0.64535,0.80928,1.05423,0.90317,0.88486,0.93119,0.75892,0.83463,0.88414,1.27387,0.00013625,0.00013625,0.00013625
